2QGPCU, R, 4, -9, -5, -2
6RU15F, R, 3, -9, -5, -2
0IAHYC, B, 2, -5, -5, inf
6RU15F, Y, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
6RU15F, Y, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
6RU15F, Y, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
6RU15F, Y, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
6RU15F, Y, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
6RU15F, Y, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
6RU15F, Y, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
8CR2AE, G, 3, inf, -5, inf
0RHT6U, B, 4, -3, -5, inf
8CR2AE, G, 3, -3, -5, -3
0RHT6U, P, 4, 0, -5, -3
8CR2AE, G, 3, -3, -5, -3
0RHT6U, R, 4, -10, -5, -3
8CR2AE, G, 3, -10, -5, -3
0IAHYC, B, 2, -5, -5, inf
8CR2AE, P, 3, inf, -5, inf
0RHT6U, B, 4, 2, -5, inf
8CR2AE, P, 3, 2, -5, 2
0RHT6U, G, 4, 6, -5, 2
8CR2AE, P, 3, 2, -5, 2
0RHT6U, R, 4, -5, -5, 2
8CR2AE, P, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
8CR2AE, Y, 3, inf, -5, inf
0RHT6U, B, 4, 2, -5, inf
8CR2AE, Y, 3, 2, -5, 2
0RHT6U, G, 4, 6, -5, 2
8CR2AE, Y, 3, 2, -5, 2
0RHT6U, P, 4, 5, -5, 2
8CR2AE, Y, 3, 2, -5, 2
0RHT6U, R, 4, -5, -5, 2
8CR2AE, Y, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
9HSKE7, B, 3, inf, -5, inf
2JW4I2, B, 4, 1, -5, inf
9HSKE7, B, 3, 1, -5, 1
2JW4I2, P, 4, 4, -5, 1
9HSKE7, B, 3, 1, -5, 1
2JW4I2, Y, 4, 1, -5, 1
9HSKE7, B, 3, 1, -5, 1
2QGPCU, G, 4, 5, -5, 1
9HSKE7, B, 3, 1, -5, 1
2QGPCU, P, 4, 4, -5, 1
9HSKE7, B, 3, 1, -5, 1
2QGPCU, R, 4, -6, -5, 1
9HSKE7, B, 3, -6, -5, 1
0IAHYC, B, 2, -5, -5, inf
9HSKE7, P, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
9HSKE7, P, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
9HSKE7, P, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
9HSKE7, P, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
9HSKE7, P, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
9HSKE7, P, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
9HSKE7, P, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
9HSKE7, Y, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
9HSKE7, Y, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
9HSKE7, Y, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
9HSKE7, Y, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
9HSKE7, Y, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
9HSKE7, Y, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
9HSKE7, Y, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
A5VQ8D, G, 3, inf, -5, inf
2JW4I2, B, 4, -3, -5, inf
A5VQ8D, G, 3, -3, -5, -3
2JW4I2, P, 4, 0, -5, -3
A5VQ8D, G, 3, -3, -5, -3
2JW4I2, Y, 4, -3, -5, -3
A5VQ8D, G, 3, -3, -5, -3
2QGPCU, G, 4, 1, -5, -3
A5VQ8D, G, 3, -3, -5, -3
2QGPCU, P, 4, 0, -5, -3
A5VQ8D, G, 3, -3, -5, -3
2QGPCU, R, 4, -10, -5, -3
A5VQ8D, G, 3, -10, -5, -3
0IAHYC, B, 2, -5, -5, inf
A5VQ8D, P, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
A5VQ8D, P, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
A5VQ8D, P, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
A5VQ8D, P, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
A5VQ8D, P, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
A5VQ8D, P, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
A5VQ8D, P, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
A5VQ8D, R, 3, inf, -5, inf
2JW4I2, B, 4, -2, -5, inf
A5VQ8D, R, 3, -2, -5, -2
2JW4I2, P, 4, 1, -5, -2
A5VQ8D, R, 3, -2, -5, -2
2JW4I2, Y, 4, -2, -5, -2
A5VQ8D, R, 3, -2, -5, -2
2QGPCU, G, 4, 2, -5, -2
A5VQ8D, R, 3, -2, -5, -2
2QGPCU, P, 4, 1, -5, -2
A5VQ8D, R, 3, -2, -5, -2
2QGPCU, R, 4, -9, -5, -2
A5VQ8D, R, 3, -9, -5, -2
0IAHYC, B, 2, -5, -5, inf
A5VQ8D, Y, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
A5VQ8D, Y, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
A5VQ8D, Y, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
A5VQ8D, Y, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
A5VQ8D, Y, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
A5VQ8D, Y, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
A5VQ8D, Y, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
B4SR4P, G, 3, inf, -5, inf
2JW4I2, B, 4, -3, -5, inf
B4SR4P, G, 3, -3, -5, -3
2JW4I2, P, 4, 0, -5, -3
B4SR4P, G, 3, -3, -5, -3
2JW4I2, Y, 4, -3, -5, -3
B4SR4P, G, 3, -3, -5, -3
2QGPCU, G, 4, 1, -5, -3
B4SR4P, G, 3, -3, -5, -3
2QGPCU, P, 4, 0, -5, -3
B4SR4P, G, 3, -3, -5, -3
2QGPCU, R, 4, -10, -5, -3
B4SR4P, G, 3, -10, -5, -3
0IAHYC, B, 2, -5, -5, inf
B4SR4P, P, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
B4SR4P, P, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
B4SR4P, P, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
B4SR4P, P, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
B4SR4P, P, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
B4SR4P, P, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
B4SR4P, P, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
B4SR4P, R, 3, inf, -5, inf
2JW4I2, B, 4, -2, -5, inf
B4SR4P, R, 3, -2, -5, -2
2JW4I2, P, 4, 1, -5, -2
B4SR4P, R, 3, -2, -5, -2
2JW4I2, Y, 4, -2, -5, -2
B4SR4P, R, 3, -2, -5, -2
2QGPCU, G, 4, 2, -5, -2
B4SR4P, R, 3, -2, -5, -2
2QGPCU, P, 4, 1, -5, -2
B4SR4P, R, 3, -2, -5, -2
2QGPCU, R, 4, -9, -5, -2
